CROP NAME,Crop type,Area Under garden(acre),Average Yield per fruit bearing tree,In garden production,In garden prduction (KG),Outside garden production,total production m tons,total production in KG,Year range,Year mid range,crop indexing,,,,,,,,,
Arabian jasmine (Belly),Flower (Permanent),15.29,0.22,2.77,,3.95,6.72,6720,2020-2021,2020.5,2,,,,,,,,,
Arabian jasmine (Belly),Flower (Permanent),23.18,0.4,7.21,,3.39,10.6,10600,2021-2022,2021.5,2,,,,,,,,,
Arabian jasmine (Belly),Flower (Permanent),25.34,1.15,,,,8.14,8140,2022-2023,2022.5,2,,,,,,,,,
Arabian jasmine (Belly),Flower (Permanent),25.35,12,,,,8.69,8690.00,2023-2024,2023.5,2,,,,,,,,,
Arabian jasmine (Belly),Flower (Permanent),24.2,1.24,,,,8.88,8880,2024-2025,2024.5,2,,,,,,,,,
Bengal currant (Kharamcha),Fruits (Permanent),37,15,7,,162,169,169000,2018-2019,2018.5,2,,,,,,,,,
Bengal currant (Kharamcha),Fruits (Permanent),27,21,7,,164,171,171000,2019-2020,2019.5,2,,,,,,,,,
Bengal currant (Kharamcha),Fruits (Permanent),27,19.36,6.92,,159.73,166.65,166650,2020-2021,2020.5,2,,,,,,,,,
Bengal currant (Kharamcha),Fruits (Permanent),60.19,17.43,6.96,,148.16,155.12,155120,2021-2022,2021.5,2,,,,,,,,,
Bengal currant (Kharamcha),Fruits (Permanent),64.38,17.22,,,,159.8,159800,2022-2023,2022.5,2,,,,,,,,,
Bengal currant (Kharamcha),Fruits (Permanent),66.52,15.92,,,,56.48,56480.00,2023-2024,2023.5,2,,,,,,,,,
Bengal currant (Kharamcha),Fruits (Permanent),67.32,16.67,,,,168.76,168760,2024-2025,2024.5,2,,,,,,,,,
Betel nut,Tobacco,30416,3,129221,,147442,276663,276663000,2015-2016,2015.5,2,,,,,,,,,
Betel nut,Tobacco,42068,2.83,137916,,108947,246863,246863000,2016-2017,2016.5,2,,,,,,,,,
Betel nut,Tobacco,76531,2,137062,,78721,215783,215783000,2017-2018,2017.5,2,,,,,,,,,
Betel nut,Tobacco,96190,3,155664,,161051,316715,316715000,2018-2019,2018.5,2,,,,,,,,,
Betel nut,Tobacco,96945,3.61,159222,,169388,328610,328610000,2019-2020,2019.5,2,,,,,,,,,
Betel nut,Tobacco,115174.01,3.82,260056.92,,85744.23,345801.15,345801150,2020-2021,2020.5,2,,,,,,,,,
Betel nut,Tobacco,96757.1,3.69,243494.82,,90229.24,333724.06,333724060,2021-2022,2021.5,2,,,,,,,,,
Betel nut,Tobacco,96993.23,3.77,,,,341586.02,341586020,2022-2023,2022.5,2,,,,,,,,,
Betel nut,Tobacco,97993.23,3.95,,,,356029.13,356029130.00,2023-2024,2023.5,2,,,,,,,,,
Betel nut,Tobacco,107029.76,3.68,,,,327971.5,327971500,2024-2025,2024.5,2,,,,,,,,,
Black Berry,Fruits (Permanent),354,45,680,,51322,52002,52002000,2015-2016,2015.5,2,,,,,,,,,
Black Berry,Fruits (Permanent),290,44,1264,,50888,52195,52195000,2016-2017,2016.5,2,,,,,,,,,
Black Berry,Fruits (Permanent),47364,44,1865,,48467,50332,50332000,2017-2018,2017.5,2,,,,,,,,,
Black Berry,Fruits (Permanent),50332,43,2739,,48762,51501,51501000,2018-2019,2018.5,2,,,,,,,,,
Black Berry,Fruits (Permanent),13751.01,45.79,1590.18,,55338.03,56928.21,56928210,2020-2021,2020.5,2,,,,,,,,,
Black Berry,Fruits (Permanent),13357.29,44.62,951.13,,53184.75,54135.88,54135880,2021-2022,2021.5,2,,,,,,,,,
Black Berry,Fruits (Permanent),12626.15,43.45,,,,53343.93,53343930,2022-2023,2022.5,2,,,,,,,,,
Black Berry,Fruits (Permanent),12824.85,46.42,,,,53193.85,53193850.00,2023-2024,2023.5,2,,,,,,,,,
Black Berry,Fruits (Permanent),13261.57,39.00,,,,48049.57,48049570,2024-2025,2024.5,2,,,,,,,,,
Black Berry ,Fruits (Permanent),37494,47.13,3125,,53459,56584,56584000,2019-2020,2019.5,2,,,,,,,,,
Burmese grap (Lotkon),Fruits (Permanent),348,27,114,,163,1877,1877000,2018-2019,2018.5,2,,,,,,,,,
Burmese grap (Lotkon),Fruits (Permanent),354,28,1069,,866,1935,1935000,2019-2020,2019.5,2,,,,,,,,,
Burmese grap (Lotkon),Fruits (Permanent),407.45,31.65,1401.69,,1007.91,2409.6,2409600,2020-2021,2020.5,2,,,,,,,,,
Burmese grap (Lotkon),Fruits (Permanent),456.71,32.89,1462.58,,1194.48,2657.06,2657060,2021-2022,2021.5,2,,,,,,,,,
Burmese grap (Lotkon),Fruits (Permanent),470.25,33.17,,,,2746.09,2746090,2022-2023,2022.5,2,,,,,,,,,
Burmese grap (Lotkon),Fruits (Permanent),479.6,33.19,,,,2790.98,2790980.00,2023-2024,2023.5,2,,,,,,,,,
Burmese grap (Lotkon),Fruits (Permanent),488.95,31.87,,,,2829.71,2829710,2024-2025,2024.5,2,,,,,,,,,
Carambola (Kamranga),Fruits (Permanent),41,19,15477,,15596,17,17000,2015-2016,2015.5,2,,,,,,,,,
Carambola (Kamranga),Fruits (Permanent),17,37,158,,14063,14221,14221000,2016-2017,2016.5,2,,,,,,,,,
Carambola (Kamranga),Fruits (Permanent),7181,38,204,,14556,14760,14760000,2017-2018,2017.5,2,,,,,,,,,
Carambola (Kamranga),Fruits (Permanent),7156,36,403,,12926,13329,13329000,2018-2019,2018.5,2,,,,,,,,,
Carambola (Kamranga),Fruits (Permanent),7062,37,145,,14923,15068,15068000,2019-2020,2019.5,2,,,,,,,,,
Carambola (Kamranga),Fruits (Permanent),4198.8,35.22,88.53,,1428.86,14307.39,14307390,2020-2021,2020.5,2,,,,,,,,,
Carambola (Kamranga),Fruits (Permanent),3661.16,36.42,93.38,,14838.19,14931.57,14931570,2021-2022,2021.5,2,,,,,,,,,
Carambola (Kamranga),Fruits (Permanent),3832.83,35.42,,,,14591.88,14591880,2022-2023,2022.5,2,,,,,,,,,
Carambola (Kamranga),Fruits (Permanent),3010.16,37.08,,,,14897.32,14897320.00,2023-2024,2023.5,2,,,,,,,,,
Carambola (Kamranga),Fruits (Permanent),3407.98,36.22,,,,15240.41,15240410,2024-2025,2024.5,2,,,,,,,,,
Cassia-leaf,Condiments & Spices,1413,26,101,,6082,6183,6183000,2018-2019,2018.5,2,,,,,,,,,
Cassia-leaf,Condiments & Spices,1392,12,386,,1428.52,1815,1815000,2019-2020,2019.5,2,,,,,,,,,
Cassia-leaf,Condiments & Spices,1233.15,10.5,326.32,,1274.89,1601.21,1601210,2020-2021,2020.5,2,,,,,,,,,
Cassia-leaf,Condiments & Spices,1167.31,10.21,262.84,,1221.45,1484.29,1484290,2021-2022,2021.5,2,,,,,,,,,
