crops,Area Acres,Per Area yield (KG),Production in (KG),Year_range,crop_type,year mid point,crop indexing,location
barley/jab,880,360,317000,2015-2016,CEAREALS,2015.5,1,Bangladesh
barley/jab,84,353,287000,2016-2017,CEAREALS,2016.5,1,Bangladesh
barley/jab,745,328,244000,2017-2018,CEAREALS,2017.5,1,Bangladesh
barley/jab,471,333,157000,2018-2019,CEAREALS,2018.5,1,Bangladesh
barley/jab,361.68,343.81,124350,2019-2020,CEAREALS,2019.5,1,Bangladesh
barley/jab,460.62,378.01,174120,2020-2021,CEAREALS,2020.5,1,Bangladesh
barley/jab,453.1,380.53,172420,2021-2022,CEAREALS,2021.5,1,Bangladesh
barley/jab,418.4,380.45,159180,2022-2023,CEAREALS,2022.5,1,Bangladesh
barley/jab,395.08,494.43,195340,2023-2024,CEAREALS,2023.5,1,Bangladesh
barley/jab,286.17,514.1,147120,2024-2025,CEAREALS,2024.5,1,Bangladesh
bazra,89,539,48000,2015-2016,CEAREALS,2015.5,1,Bangladesh
bazra,76,526,40000,2016-2017,CEAREALS,2016.5,1,Bangladesh
bazra,71,535,38000,2017-2018,CEAREALS,2017.5,1,Bangladesh
binnidana,30.43,626,19040,2018-2019,CEAREALS,2018.5,1,Bangladesh
binnidana,9.1,531.87,4840,2019-2020,CEAREALS,2019.5,1,Bangladesh
binnidana,22,485.45,10680,2020-2021,CEAREALS,2020.5,1,Bangladesh
binnidana,18.65,551.74,10290,2021-2022,CEAREALS,2021.5,1,Bangladesh
cheena&kaon,2920,421,1229000,2015-2016,CEAREALS,2015.5,1,Bangladesh
cheena&kaon,2627,401,1054000,2016-2017,CEAREALS,2016.5,1,Bangladesh
cheena&kaon,2245,419,940000,2017-2018,CEAREALS,2017.5,1,Bangladesh
cheena&kaon,1541,400,617000,2018-2019,CEAREALS,2018.5,1,Bangladesh
cheena&kaon,1300.55,357.49,464930,2019-2020,CEAREALS,2019.5,1,Bangladesh
cheena&kaon,1988.67,473.68,942000,2020-2021,CEAREALS,2020.5,1,Bangladesh
cheena&kaon,1798.16,428.08,769760,2021-2022,CEAREALS,2021.5,1,Bangladesh
cheena&kaon,1685.4,459.79,774930,2022-2023,CEAREALS,2022.5,1,Bangladesh
cheena&kaon,1685.99,447.02,753670,2023-2024,CEAREALS,2023.5,1,Bangladesh
cheena&kaon,1641.86,459.93,755140,2024-2025,CEAREALS,2024.5,1,Bangladesh
maize(summer),128659,2209,284230000,2015-2016,CEAREALS,2015.5,1,Bangladesh
maize(summer),146014,2319,338560000,2016-2017,CEAREALS,2016.5,1,Bangladesh
maize(summer),157443,2502,393938000,2017-2018,CEAREALS,2017.5,1,Bangladesh
maize(summer),1099884,3245,3569321000,2018-2019,CEAREALS,2018.5,1,Bangladesh
maize(summer),192426,2532,487277000,2019-2020,CEAREALS,2019.5,1,Bangladesh
maize(summer),206440.73,2677.59,552764080,2020-2021,CEAREALS,2020.5,1,Bangladesh
maize(summer),197283.4,2777.99,548051670,2021-2022,CEAREALS,2021.5,1,Bangladesh
maize(summer),195390.99,2859.49,558719540,2022-2023,CEAREALS,2022.5,1,Bangladesh
maize(summer),211405.82,2979.32,629844960,2023-2024,CEAREALS,2023.5,1,Bangladesh
maize(summer),214127.49,2954.31,632599200,2024-2025,CEAREALS,2024.5,1,Bangladesh
maize(winter),698728,3093,2161348000,2015-2016,CEAREALS,2015.5,1,Bangladesh
maize(winter),816986,3289,2686832000,2016-2017,CEAREALS,2016.5,1,Bangladesh
maize(winter),832139,3478,2894164000,2017-2018,CEAREALS,2017.5,1,Bangladesh
maize(winter),922876,3381,3119855000,2018-2019,CEAREALS,2018.5,1,Bangladesh
maize(winter),973168,3625,3528029000,2019-2020,CEAREALS,2019.5,1,Bangladesh
maize(winter),979210.77,3639.33,3563674380,2020-2021,CEAREALS,2020.5,1,Bangladesh
maize(winter),984415.51,3772.59,3713793070,2021-2022,CEAREALS,2021.5,1,Bangladesh
maize(winter),1031908.38,3879.98,4003788090,2022-2023,CEAREALS,2022.5,1,Bangladesh
maize(winter),1060671.2,4003.2,4246074220,2023-2024,CEAREALS,2023.5,1,Bangladesh
maize(winter),1118647.98,4356.1,4872939170,2024-2025,CEAREALS,2024.5,1,Bangladesh
othercereals(summer),615,195,1174000,2015-2016,CEAREALS,2015.5,1,Bangladesh
othercereals(summer),389,457,0,2016-2017,CEAREALS,2016.5,1,Bangladesh
othercereals(winter),30,267,8000,2015-2016,CEAREALS,2015.5,1,Bangladesh
othercereals(winter),81,349,28000,2016-2017,CEAREALS,2016.5,1,Bangladesh
sorghum/jower(summer),143,441,63000,2015-2016,CEAREALS,2015.5,1,Bangladesh
sorghum/jower(summer),132,439,58000,2016-2017,CEAREALS,2016.5,1,Bangladesh
sorghum/jower(summer),106,472,50000,2017-2018,CEAREALS,2017.5,1,Bangladesh
sorghum/jower(summer),105,457,48000,2018-2019,CEAREALS,2018.5,1,Bangladesh
