FiberCrop,production area(Acres),Per acre Yield in (KG),production amount in (KG),Year range,crop_type,midpoint
Cotton(Summer)(Comilla),18793,32.004,605764.6,2015-2016,FIBER,2015.5
Cotton(Winter)(American),14987,352.044,5288483.2,2015-2016,FIBER,2015.5
Sunhemp(Winter),0.106,794.766,83.566,2015-2016,FIBER,2015.5
Cotton(Summer)(Comilla),18875,3556,683641,2016-2017,FIBER,2016.5
Cotton(Winter)(American),13934,348.488,4864608,2016-2017,FIBER,2016.5
Sunhemp(Winter),91000,810.768,47294.8,2016-2017,FIBER,2016.5
Cotton(Summer)(Comilla),18800,3733.8,670483.8,2017-2018,FIBER,2017.5
Cotton(Winter)(American),13570,353.822,4803978.2,2017-2018,FIBER,2017.5
Sunhemp(Winter),83,769.874,64008,2017-2018,FIBER,2017.5
Cotton(Summer)(Comilla),17489,16.002,267233.4,2018-2019,FIBER,2018.5
Cotton(Winter)(American),13479,232.918,3137992.2,2018-2019,FIBER,2018.5
Sunhemp(Winter),77,736.092,56718.2,2018-2019,FIBER,2018.5
Cotton(Summer)(Comilla),17338,15351.252,266166.6,2019-2020,FIBER,2019.5
Cotton(Winter)(American),13139,1303.274,17131741.2,2019-2020,FIBER,2019.5
Sunhemp(Winter),83,169265.6,14046.2,2019-2020,FIBER,2019.5
Cotton(Summer)(Cumilla),17631.3,16690.086,294282.114,2020-2021,FIBER,2020.5
Cotton(Winter)(American),13028.09,958.342,12486588.18,2020-2021,FIBER,2020.5
Sunhemp(Winter),58.3,208418.938,1215085.2,2020-2021,FIBER,2020.5
Cotton(Summer)(Cumilla),17479.84,18055.59,315618.114,2021-2022,FIBER,2021.5
Cotton(Winter)(American),12799.53,961.898,12303182.15,2021-2022,FIBER,2021.5
Sunhemp(Winter),58.7,192489.836,11299.19,2021-2022,FIBER,2021.5
Cotton(Summer)(Cumilla),17593.34,20098.512,353603.306,2022-2023,FIBER,2022.5
Cotton(Winter)(American),11335.3,1009.904,11444253.46,2022-2023,FIBER,2022.5
Sunhemp(Winter),56.2,172073.062,9670.542,2022-2023,FIBER,2022.5
Cotton(Summer)(Cumilla),17630.96,20870.164,367955.322,2023-2024,FIBER,2023.5
Cotton(Winter)(American),10813.83,1073.912,11606021.24,2023-2024,FIBER,2023.5
Sunhemp(Winter),55.5,166138.098,9220.708,2023-2024,FIBER,2023.5
Cotton(Summer)(Cumilla),16558.94,117.348,1949521.882,2024-2025,FIBER,2024.5
Cotton(Winter)(American),10005.27,1081.024,10818749.51,2024-2025,FIBER,2024.5
Sunhemp(Winter),48.86,141919.96,6934.2,2024-2025,FIBER,2024.5
